,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
0,No,Yes,Exceptional,Chugureti,83.0,64,Mose art Hotel,Luxury Triple Room,1.2,41.72340168819495,44.82088685166248
1,No,Yes,Excellent,Vera,69.0,30,Costé Hotel,Standard Single Room,2.2,41.70761261768468,44.787408551790755
2,Yes,Yes,Exceptional,Old Tbilisi,91.0,6,Green Inn,Standard Twin Room,0.4,41.69209658252052,44.79406059228808
3,Yes,Yes,Wonderful,Old Tbilisi,71.0,359,David Hotel - Ethno style,Triple Room,0.4,41.69209658252052,44.79406059228808
4,No,Yes,Excellent,Mtatsminda,109.0,751,Hotel Adamo,Economy Double Room,1.2,41.693060457156996,44.78551384334914
5,No,Yes,Wonderful,Chugureti,24.0,118,Pigeon guest house,Bed in 6-Bed Dormitory Room,2.3,41.72340168819495,44.82088685166248
6,Yes,Yes,Wonderful,Vera,124.0,12,Zemeli Boutique Hotel,Budget Double Room,1.7,41.70761261768468,44.787408551790755
7,Yes,Yes,Excellent,Old Tbilisi,69.0,476,Old Side Corner,Standard Single Room,0.35,41.69209658252052,44.79406059228808
8,Yes,Yes,Excellent,Other,97.0,166,Biography Tbilisi,Budget Double Room,2.1,,
9,No,Yes,Excellent,Old Tbilisi,72.0,317,Penthouse Hotel,Budget Single Room,,41.69209658252052,44.79406059228808
10,No,Yes,Excellent,Chugureti,14.0,2096,Fabrika Hostel & Suites, Bed in a 12 Mixed Dormitory Room,1.8,41.72340168819495,44.82088685166248
11,No,Yes,Wonderful,Chugureti,38.0,98,ANNA,Twin Room,,41.72340168819495,44.82088685166248
12,No,Yes,,Other,28.0,,Gold house,Large Double Room,4.5,,
13,No,Yes,Wonderful,Other,85.0,233,Green Boutique Hotel,Deluxe Double Room with Shower,2.4,,
14,Yes,Yes,Excellent,Old Tbilisi,74.0,200,MariaLuis Hotel,Small Double or Twin Room,1.1,41.69209658252052,44.79406059228808
15,No,Yes,Exceptional,Old Tbilisi,58.0,1,Old Tbilisi Terrace,Double Room,1.2,41.69209658252052,44.79406059228808
16,Yes,Yes,Very Good,Vake,72.0,133,Hotel Genio,Budget Double or Twin Room,3.3,41.70553522376798,44.75495342831405
17,Yes,Yes,Exceptional,Other,38.0,214,Guesthouse different,Small Single Room,2.4,,
18,Yes,Yes,Wonderful,Old Tbilisi,115.0,449,Address Boutique Hotel,Economy Double or Twin Room,,41.69209658252052,44.79406059228808
19,Yes,Yes,Very Good,Other,85.0,110,Dolabauri Hotel,Standard Double Room,2.7,,
20,No,Yes,Very Good,Old Tbilisi,19.0,263,Namaste Hostel,Single Bed in Mixed Dormitory Room,0.6,41.69209658252052,44.79406059228808
21,No,Yes,Wonderful,Old Tbilisi,125.0,354,Redrum Tbilisi Boutique Hotel,Deluxe Double Room with Bath,0.6,41.69209658252052,44.79406059228808
22,No,Yes,Excellent,Old Tbilisi,45.0,160,Hotel Blissdom,Standard Single Room,,41.69209658252052,44.79406059228808
